"ID","釣り方","レベル","種類","メーカー","商品名","番手・モデル","AmazonアソシエイトURL","状態"
"070","ショアジギング","上級者","ロッド","SHIMANO","コルトスナイパー XR","S100XH","","未設定"
"071","ショアジギング","上級者","リール","DAIWA","セルテート SW 5000〜6000番クラス","SW 5000〜6000番クラス","","未設定"
"072","ショアジギング","上級者","リール","SHIMANO","ツインパワー SW","5000〜8000HG","","未設定"
"073","チニング","初級者","ロッド","DAIWA","シルバーウルフ 73LML-S","73LML-S","","未設定"
"074","チニング","初級者","ロッド","SHIMANO","ブレニアス BB","S610L","","未設定"
"075","チニング","初級者","リール","DAIWA","23 レガリス","LT2500S-XH","","未設定"
"076","チニング","初級者","リール","SHIMANO","シエナ","C3000","","未設定"
"077","チニング","中級者","ロッド","DAIWA","シルバーウルフ MX 82ML","82ML","","未設定"
"078","チニング","中級者","ロッド","SHIMANO","ブレニアス BB","S79ML","","未設定"
"079","チニング","中級者","リール","DAIWA","25セルテート LT3000-XH","LT3000-XH","","未設定"
"080","チニング","中級者","リール","SHIMANO","ストラディック","C3000","","未設定"
"081","チニング","上級者","ロッド","DAIWA","シルバーウルフ EX","7.0〜7.6ft・ML","","未設定"
"082","チニング","上級者","ロッド","SHIMANO","ブレニアス エクスチューン","S79ML","","未設定"
"083","チニング","上級者","リール","DAIWA","シルバーウルフ SV TW PE SPECIAL","SV TW PE SPECIAL","","未設定"
"084","チニング","上級者","リール","SHIMANO","アルデバラン BFS","XG","","未設定"
"085","ロックフィッシュ","初級者","ロッド","DAIWA","HRF 79M","79M","","未設定"
"086","ロックフィッシュ","初級者","ロッド","SHIMANO","ハードロッカー BB","S79M","","未設定"
"087","ロックフィッシュ","初級者","リール","DAIWA","24 レブロス","LT3000-CXH","","未設定"
"088","ロックフィッシュ","初級者","リール","SHIMANO","サハラ","C3000","","未設定"
"089","ロックフィッシュ","中級者","ロッド","DAIWA","HRF 86MHB","86MHB","","未設定"
"090","ロックフィッシュ","中級者","ロッド","SHIMANO","ハードロッカー SS","S86MH","","未設定"
"091","ロックフィッシュ","中級者","リール","DAIWA","タトゥーラ SV TW","SV TW","","未設定"
"092","ロックフィッシュ","中級者","リール","SHIMANO","SLX","DC","","未設定"
"093","ロックフィッシュ","上級者","ロッド","DAIWA","HRF AIR 86MHB","86MHB","","未設定"
"094","ロックフィッシュ","上級者","ロッド","SHIMANO","ハードロッカー エクスチューン","S86MH","","未設定"
"095","ロックフィッシュ","上級者","リール","DAIWA","ジリオン TW HD","TW HD","","未設定"
"096","ロックフィッシュ","上級者","リール","SHIMANO","スコーピオン MD","MD","","未設定"
"097","バス釣り","初級者","ロッド","DAIWA","バス X","6.6ft前後・ML","","未設定"
"098","バス釣り","初級者","ロッド","SHIMANO","バスワン XT+","S66ML","","未設定"
"099","バス釣り","初級者","リール","DAIWA","23 レガリス","LT2500S-XH","","未設定"
"100","バス釣り","初級者","リール","SHIMANO","サハラ","C2500","","未設定"
"101","バス釣り","中級者","ロッド","DAIWA","タトゥーラ","6.6〜7ft・ML〜M","","未設定"
"102","バス釣り","中級者","ロッド","SHIMANO","エクスプライド","166ML","","未設定"
"103","バス釣り","中級者","リール","DAIWA","タトゥーラ SV TW","SV TW","","未設定"
"104","バス釣り","中級者","リール","SHIMANO","バスワン XT","バスワンXT","","未設定"
"105","バス釣り","上級者","ロッド","DAIWA","スティーズ（ベイトキャスティングモデル）","用途別専用モデル","","未設定"
"106","バス釣り","上級者","ロッド","SHIMANO","ポイズンアドレナ","用途別専用モデル","","未設定"
"107","バス釣り","上級者","リール","DAIWA","スティーズ SV TW","SV TW","","未設定"
"108","バス釣り","上級者","リール","SHIMANO","アンタレス DC","アンタレスDC","","未設定"
"109","サビキ釣り","初級者","ロッド","DAIWA","リバティクラブ 小継磯 2-330","2-330","","未設定"
"110","サビキ釣り","初級者","ロッド","SHIMANO","ホリデー磯","1.5-330","","未設定"
"111","サビキ釣り","中級者","ロッド","DAIWA","リバティクラブ 磯風","3号前後・3.6〜4.5m","","未設定"
"112","サビキ釣り","中級者","ロッド","SHIMANO","ホリデー磯","2-450","","未設定"
"113","サビキ釣り","上級者","ロッド","DAIWA","波濤 1.5-45・N","1.5-45・N","","未設定"
"114","サビキ釣り","上級者","ロッド","SHIMANO","磯 遠投 AX","1.5-450","","未設定"
